city,locality,property_type,bedrooms,area_sqft,price_per_sqft,transaction_date,price_total,source
Delhi,Greater Kailash,Apartment,2,894.0,7442.0,2024-06-09,66.53,
Delhi,South Extension,Apartment,5,1534.0,12277.0,2024-12-29,188.33,
Delhi,Rohini,Apartment,2,863.0,18429.0,2024-11-26,159.04,
Delhi,South Extension,Apartment,1,892.0,15957.0,2024-06-17,142.34,
Delhi,South Extension,Apartment,3,828.0,18905.0,2024-10-17,156.53,
Delhi,Dwarka,Apartment,4,800.0,10786.0,2024-10-05,86.29,
Delhi,Rohini,Apartment,2,1207.0,11060.0,2024-04-07,133.49,
Delhi,Rohini,Villa,3,1017.0,15921.0,2025-02-26,161.92,
Delhi,South Extension,Row House,1,1014.0,20858.0,2025-04-02,211.5,
Delhi,Greater Kailash,Apartment,4,934.0,12177.0,2024-04-22,113.73,
Delhi,Rohini,Row House,4,1386.0,12771.0,2024-09-08,177.01,
Delhi,Mayur Vihar,Apartment,2,920.0,16885.0,2024-10-27,155.34,
Delhi,South Extension,Apartment,1,1913.0,13248.0,2025-03-21,253.43,
Delhi,Dwarka,Apartment,4,1547.0,9443.0,2024-12-19,146.08,
Delhi,Greater Kailash,Apartment,3,975.0,10053.0,2024-05-30,98.02,
Delhi,Mayur Vihar,Apartment,3,1468.0,17420.0,2024-08-22,255.73,
Delhi,Mayur Vihar,Apartment,3,1268.0,8886.0,2024-10-18,112.67,
Delhi,Dwarka,Apartment,3,1175.0,21287.0,2025-03-03,250.12,
Delhi,Greater Kailash,Apartment,4,1357.0,11893.0,2024-07-29,161.39,
Delhi,South Extension,Apartment,4,1117.0,17773.0,2024-08-02,198.52,
Delhi,Vasant Kunj,Apartment,4,1177.0,12163.0,2024-07-11,143.16,
Delhi,Greater Kailash,Apartment,3,1363.0,10881.0,2024-11-16,148.31,
Delhi,Dwarka,Apartment,4,1757.0,16107.0,2024-07-06,283.0,
Delhi,Mayur Vihar,Villa,3,1180.0,19733.0,2024-12-31,232.85,
Delhi,South Extension,Apartment,3,955.0,13887.0,2024-08-22,132.62,
Delhi,Greater Kailash,Row House,2,451.0,14705.0,2025-02-26,66.32,
Delhi,Vasant Kunj,Apartment,4,1728.0,18633.0,2024-06-08,321.98,
Delhi,Vasant Kunj,Villa,4,1016.0,18782.0,2025-03-08,190.83,
Delhi,Rohini,Villa,3,1271.0,14827.0,2024-05-23,188.45,
Delhi,Rohini,Apartment,4,1710.0,13004.0,2024-08-04,222.37,
Delhi,Dwarka,Apartment,3,1173.0,15372.0,2024-08-13,180.31,
Delhi,Greater Kailash,Apartment,2,1038.0,14141.0,2024-10-03,146.78,
Delhi,Greater Kailash,Plot,2,1554.0,16408.0,2024-07-08,254.98,
Delhi,Mayur Vihar,Apartment,2,1247.0,9626.0,2024-08-13,120.04,
Delhi,Mayur Vihar,Apartment,2,1288.0,16247.0,2024-08-10,209.26,
Delhi,Mayur Vihar,Villa,1,613.0,11768.0,2024-07-14,72.14,
Delhi,Rohini,Villa,3,1486.0,19076.0,2024-04-12,283.47,
Delhi,Greater Kailash,Apartment,2,1220.0,11974.0,2024-05-01,146.08,
Delhi,Greater Kailash,Apartment,3,661.0,12052.0,2025-01-31,79.66,
Delhi,Vasant Kunj,Plot,2,1255.0,17004.0,2024-10-11,213.4,
Delhi,Rohini,Apartment,3,440.0,15064.0,2025-04-03,66.28,
Delhi,South Extension,Apartment,2,1849.0,25245.0,2024-11-15,466.78,
Delhi,Rohini,Villa,2,747.0,7668.0,2024-10-30,57.28,
Delhi,South Extension,Apartment,3,1616.0,15494.0,2024-05-17,250.38,
Delhi,Vasant Kunj,Villa,3,840.0,20083.0,2024-11-11,168.7,
Delhi,Dwarka,Apartment,2,1279.0,12398.0,2024-06-17,158.57,
Delhi,Greater Kailash,Apartment,4,808.0,10902.0,2024-11-04,88.09,
Delhi,Vasant Kunj,Apartment,1,1419.0,11081.0,2024-09-25,157.24,
Delhi,Greater Kailash,Apartment,3,1025.0,7746.0,2025-01-23,79.4,
Delhi,Mayur Vihar,Apartment,5,1250.0,21074.0,2024-06-05,263.42,
Delhi,Dwarka,Row House,3,1105.0,13517.0,2024-04-27,149.36,
Delhi,Dwarka,Apartment,3,663.0,12984.0,2024-11-17,86.08,
Delhi,Vasant Kunj,Apartment,3,1261.0,5442.0,2024-10-01,68.62,
Delhi,Dwarka,Row House,3,939.0,8548.0,2024-06-17,80.27,
Delhi,South Extension,Row House,3,1435.0,21594.0,2025-02-04,309.87,
Delhi,Dwarka,Apartment,2,1025.0,16364.0,2024-09-20,167.73,
Delhi,Greater Kailash,Plot,2,1075.0,20249.0,2024-06-15,217.68,
Delhi,Greater Kailash,Apartment,3,1639.0,19680.0,2024-05-22,322.56,
Delhi,Greater Kailash,Apartment,4,1862.0,10497.0,2024-06-08,195.45,
Delhi,Greater Kailash,Villa,3,1352.0,25934.0,2024-04-27,350.63,
Delhi,South Extension,Villa,2,1008.0,23774.0,2025-03-26,239.64,
Delhi,Rohini,Plot,3,980.0,12463.0,2025-02-03,122.14,
Delhi,Mayur Vihar,Apartment,3,838.0,-1057.0,2024-05-08,-8.86,
Delhi,Vasant Kunj,Plot,2,900.0,13396.0,2024-08-23,120.56,
Delhi,Greater Kailash,Plot,2,1012.0,16072.0,2024-11-04,162.65,
Delhi,Dwarka,Plot,3,1729.0,12445.0,2024-09-19,215.17,
Delhi,Greater Kailash,Villa,3,1037.0,14003.0,2025-02-13,145.21,
Delhi,Dwarka,Apartment,2,708.0,11271.0,2024-07-20,79.8,
Delhi,Mayur Vihar,Apartment,2,1113.0,19147.0,2025-02-06,213.11,
Delhi,Mayur Vihar,Apartment,1,1157.0,15286.0,2025-01-24,176.86,
Delhi,Mayur Vihar,Plot,1,1111.0,19282.0,2024-11-09,214.22,
Delhi,Dwarka,Row House,5,1356.0,20500.0,2024-04-22,277.98,
Delhi,Greater Kailash,Apartment,4,1122.0,5216.0,2025-02-02,58.52,
Delhi,Mayur Vihar,Apartment,2,1346.0,11533.0,2024-05-31,155.23,
Delhi,South Extension,Apartment,5,850.0,12192.0,2024-08-06,103.63,
Delhi,Dwarka,Apartment,3,1670.0,26571.0,2024-05-11,443.74,
